epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,403.718,0.8618,1.58684,0.96359,1.17102,0.54302,0.64083,0.51715,0.34663,0.64605,0.51672,0.48551,0.27733,1.75088,4.20247,2.30731,1.93021,0.000767375,0.000767375,0.000767375
41,419.231,0.81623,1.51142,0.85852,1.17804,0.69759,0.69982,0.66164,0.46368,0.75467,0.67694,0.64002,0.3734,1.66638,4.29524,1.83499,1.98179,0.000755,0.000755,0.000755
42,436.953,0.75865,1.3698,0.78448,1.0923,0.59569,0.71228,0.65044,0.44814,0.5802,0.70057,0.62622,0.35906,1.56566,4.1698,1.68659,1.94174,0.000742625,0.000742625,0.000742625
43,451.255,0.80298,1.33422,0.87081,1.18202,0.68256,0.55348,0.63136,0.39311,0.73442,0.56881,0.59845,0.34543,1.59961,3.8822,1.72139,2.01387,0.00073025,0.00073025,0.00073025
44,461.418,0.84625,1.4046,0.82139,1.14791,0.67376,0.57381,0.58525,0.36207,0.72276,0.58941,0.60633,0.32395,1.60986,3.78537,1.74684,2.15595,0.000717875,0.000717875,0.000717875
45,472.138,0.75094,1.31538,0.74801,1.11989,0.71866,0.57915,0.69976,0.43935,0.68971,0.56732,0.62741,0.36925,1.83067,3.89758,1.5368,2.29098,0.0007055,0.0007055,0.0007055
46,482.21,0.75549,1.40766,0.85993,1.11352,0.81989,0.67381,0.74438,0.46861,0.82328,0.64762,0.66622,0.40833,1.88929,4.06331,1.78057,2.32244,0.000693125,0.000693125,0.000693125
47,492.134,0.77338,1.31692,0.7905,1.12706,0.80003,0.67382,0.7569,0.50121,0.83697,0.68571,0.76421,0.4117,1.72481,3.98414,2.02591,2.2605,0.00068075,0.00068075,0.00068075
48,502.105,0.79295,1.43327,0.78836,1.10568,0.79329,0.73571,0.76631,0.50754,0.83112,0.74762,0.77494,0.40944,1.73111,4.05212,1.99864,2.18049,0.000668375,0.000668375,0.000668375
49,512.054,0.84871,1.44892,0.80246,1.16257,0.79698,0.7075,0.74079,0.47877,0.82663,0.71911,0.76048,0.36175,1.57402,3.8575,1.52525,1.97269,0.000656,0.000656,0.000656
50,521.724,0.85097,1.53964,0.85131,1.17671,0.8865,0.68909,0.76709,0.5424,0.8791,0.66528,0.75122,0.41426,1.51459,3.7829,1.51234,1.89696,0.000643625,0.000643625,0.000643625
51,531.403,0.75223,1.38612,0.83199,1.10254,0.91637,0.64116,0.83099,0.58215,0.91437,0.60105,0.7454,0.43965,1.53343,3.96569,1.64821,1.85862,0.00063125,0.00063125,0.00063125
52,541.396,0.76639,1.43138,0.72332,1.12177,0.91372,0.6726,0.81056,0.56843,0.91372,0.6726,0.74858,0.44699,1.49488,3.70563,1.58626,1.77313,0.000618875,0.000618875,0.000618875
53,550.877,0.73976,1.35712,0.75442,1.09677,0.85092,0.69173,0.80065,0.59012,0.8734,0.67243,0.76886,0.48985,1.45088,3.235,1.36112,1.73133,0.0006065,0.0006065,0.0006065
54,560.632,0.7557,1.36231,0.80869,1.12278,0.85425,0.69509,0.77628,0.56541,0.86242,0.69524,0.75171,0.47535,1.52504,3.39646,1.45089,1.82346,0.000594125,0.000594125,0.000594125
55,570.743,0.66922,1.25359,0.64458,1.05076,0.73925,0.64655,0.69666,0.5154,0.73503,0.62021,0.67302,0.44825,1.70751,4.04335,1.64495,2.09212,0.00058175,0.00058175,0.00058175
56,580.636,0.72027,1.14426,0.73283,1.10457,0.716,0.65642,0.72042,0.53535,0.74084,0.67949,0.69941,0.4503,1.70235,4.26332,1.59356,2.09568,0.000569375,0.000569375,0.000569375
57,590.901,0.6801,1.18306,0.6378,1.05868,0.84561,0.66361,0.73826,0.51982,0.87341,0.67551,0.76777,0.46619,1.65126,4.10647,1.73026,2.01668,0.000557,0.000557,0.000557
58,600.689,0.68031,1.1449,0.67179,1.06066,0.79285,0.69901,0.75522,0.53006,0.81529,0.71081,0.77231,0.47225,1.75459,4.19719,1.69891,2.13269,0.000544625,0.000544625,0.000544625
59,610.434,0.6636,1.13004,0.6286,1.04451,0.82543,0.64946,0.72166,0.53892,0.82154,0.70846,0.75793,0.44832,1.59404,4.12368,1.70225,1.92361,0.00053225,0.00053225,0.00053225
60,620.38,0.64297,1.09001,0.61563,1.0364,0.86858,0.67921,0.78066,0.56041,0.81712,0.75779,0.79591,0.46738,1.64165,4.17177,1.58035,1.93794,0.000519875,0.000519875,0.000519875
61,629.973,0.64285,1.10914,0.67347,1.01529,0.83894,0.62868,0.73908,0.51001,0.85977,0.64168,0.66101,0.42999,1.64749,4.34458,1.57627,2.01369,0.0005075,0.0005075,0.0005075
62,640.035,0.66362,1.098,0.62474,1.03106,0.83933,0.59613,0.6845,0.47794,0.80652,0.59223,0.63112,0.40013,1.70405,4.44054,1.78516,2.05859,0.000495125,0.000495125,0.000495125
63,649.49,0.64362,1.04457,0.73515,1.05192,0.82916,0.55021,0.66995,0.44727,0.72763,0.59165,0.61492,0.39955,1.70529,4.55268,1.80889,2.04946,0.00048275,0.00048275,0.00048275
64,659.33,0.6386,1.04495,0.63205,1.02042,0.83533,0.59535,0.74425,0.50977,0.75858,0.63899,0.69939,0.42898,1.68527,4.59035,1.90223,2.02604,0.000470375,0.000470375,0.000470375
65,668.902,0.59805,1.06607,0.5817,1.03372,0.76519,0.71435,0.76183,0.54979,0.73262,0.63895,0.6787,0.46764,1.5433,4.20238,1.728,1.85562,0.000458,0.000458,0.000458
66,678.587,0.62469,1.01014,0.59276,0.99357,0.77225,0.70078,0.77755,0.58528,0.82636,0.62162,0.69303,0.48074,1.47523,4.13353,1.52335,1.83697,0.000445625,0.000445625,0.000445625
67,688.331,0.60426,1.05116,0.59731,1.00545,0.74752,0.69184,0.73111,0.56672,0.74752,0.69184,0.68382,0.48175,1.51133,3.846,1.35158,1.92686,0.00043325,0.00043325,0.00043325
68,697.821,0.62752,1.04594,0.60144,1.01965,0.80114,0.73734,0.74548,0.5582,0.86477,0.67075,0.70983,0.49214,1.4765,3.65998,1.42735,1.85247,0.000420875,0.000420875,0.000420875
69,707.51,0.63202,1.04601,0.59378,1.04136,0.86839,0.63839,0.72372,0.54433,0.89744,0.6503,0.69971,0.48052,1.45982,3.71821,1.57298,1.82486,0.0004085,0.0004085,0.0004085
70,716.894,0.59703,1.04953,0.57599,0.9881,0.77225,0.71853,0.73443,0.52868,0.78962,0.73043,0.71828,0.47107,1.48285,3.8677,1.55639,1.88567,0.000396125,0.000396125,0.000396125
71,726.769,0.57265,0.99137,0.5477,0.99856,0.87458,0.66727,0.756,0.5535,0.89923,0.6789,0.77095,0.48531,1.50793,4.04938,1.25334,1.98155,0.00038375,0.00038375,0.00038375
72,736.59,0.56087,0.98654,0.56732,1.00084,0.83548,0.74433,0.81838,0.61061,0.84453,0.73993,0.82264,0.54298,1.44772,3.87746,1.23222,1.91125,0.000371375,0.000371375,0.000371375
73,746.184,0.56387,1.06814,0.53556,1.02069,0.91475,0.77212,0.83493,0.64001,0.90098,0.79236,0.83017,0.52255,1.32968,3.74264,1.28295,1.69166,0.000359,0.000359,0.000359
74,755.74,0.54609,0.92051,0.5107,1.00043,0.95631,0.77352,0.83134,0.63018,0.93085,0.76179,0.82315,0.4913,1.35956,3.71861,1.32953,1.66648,0.000346625,0.000346625,0.000346625
75,765.541,0.58019,1.04455,0.53178,1.02986,0.93675,0.75052,0.84626,0.59997,0.93753,0.75027,0.82415,0.50202,1.35669,3.72436,1.42295,1.66193,0.00033425,0.00033425,0.00033425
76,775.363,0.52711,0.92373,0.50465,0.99118,0.94524,0.74462,0.84811,0.62497,0.94524,0.74462,0.83901,0.51187,1.30272,3.81661,1.38448,1.6296,0.000321875,0.000321875,0.000321875
77,785.181,0.53573,0.94981,0.53463,0.99005,0.91114,0.74762,0.86368,0.64459,0.91114,0.74762,0.83565,0.53477,1.35596,3.93287,1.47136,1.67876,0.0003095,0.0003095,0.0003095
78,795.165,0.57216,1.03249,0.57544,1.03339,0.75006,0.83412,0.8488,0.63809,0.82701,0.78841,0.83673,0.53183,1.35692,4.00664,1.41691,1.66379,0.000297125,0.000297125,0.000297125
79,805.128,0.54012,0.96119,0.48678,0.96443,0.85487,0.70952,0.85964,0.65237,0.75737,0.78333,0.81697,0.54461,1.3123,3.83116,1.35864,1.64683,0.00028475,0.00028475,0.00028475
80,814.94,0.50416,0.94394,0.49582,0.96286,0.82972,0.82441,0.87324,0.64779,0.79221,0.79342,0.83024,0.54847,1.31383,3.72162,1.24921,1.67346,0.000272375,0.000272375,0.000272375
81,824.789,0.52082,0.89564,0.50518,0.97062,0.84616,0.80125,0.85836,0.63399,0.8847,0.7653,0.84137,0.50906,1.25978,3.64677,1.20681,1.6589,0.00026,0.00026,0.00026
82,834.503,0.54406,0.90731,0.51477,1.01738,0.87423,0.75108,0.83918,0.63515,0.90132,0.76278,0.84056,0.49955,1.2644,3.65335,1.24796,1.67339,0.000247625,0.000247625,0.000247625
83,844.37,0.48828,0.87574,0.50047,0.96058,0.90119,0.74082,0.7996,0.61883,0.91232,0.72825,0.7781,0.47277,1.28796,3.92154,1.4125,1.70712,0.00023525,0.00023525,0.00023525
84,854.357,0.50661,0.85593,0.50389,0.9691,0.89457,0.74203,0.7797,0.59493,0.92771,0.74865,0.76275,0.45185,1.33572,4.0643,1.49177,1.72701,0.000222875,0.000222875,0.000222875
85,863.837,0.5078,0.89483,0.46541,0.95437,0.87872,0.74762,0.76996,0.59573,0.90851,0.75714,0.75614,0.47099,1.44873,4.25672,1.5375,1.9272,0.0002105,0.0002105,0.0002105
86,873.367,0.49187,0.82405,0.44898,0.98352,0.86124,0.73587,0.76439,0.60632,0.89209,0.74768,0.75606,0.47396,1.45126,4.29842,1.5217,1.91053,0.000198125,0.000198125,0.000198125
87,882.924,0.51524,0.8771,0.48237,0.96192,0.85994,0.73017,0.78302,0.5891,0.87008,0.73333,0.76564,0.48982,1.41584,4.22484,1.58047,1.82939,0.00018575,0.00018575,0.00018575
88,892.699,0.45767,0.80306,0.42667,0.92063,0.81521,0.74789,0.80381,0.60612,0.87974,0.73333,0.77869,0.5113,1.42307,4.1963,1.56639,1.80606,0.000173375,0.000173375,0.000173375
89,902.623,0.4845,0.77657,0.43186,0.94482,0.79829,0.79399,0.82675,0.62924,0.88533,0.72519,0.79435,0.52563,1.46141,4.11733,1.53233,1.86242,0.000161,0.000161,0.000161
90,912.524,0.45202,0.78441,0.43445,0.94289,0.79218,0.79727,0.84131,0.63561,0.85624,0.73333,0.80727,0.52954,1.47312,4.06788,1.47472,1.86698,0.000148625,0.000148625,0.000148625
91,922.199,0.40316,0.77946,0.38684,0.91376,0.87586,0.76173,0.85795,0.66369,0.92399,0.71653,0.85002,0.55182,1.45805,4.14597,1.27664,1.85743,0.00013625,0.00013625,0.00013625
92,931.764,0.44223,0.75715,0.42025,0.98143,0.89624,0.75311,0.86341,0.67428,0.88071,0.73897,0.86363,0.56139,1.47211,4.21792,1.22571,1.87768,0.000123875,0.000123875,0.000123875
93,941.328,0.43997,0.79067,0.41404,0.97016,0.80343,0.86062,0.87292,0.67601,0.78552,0.84923,0.86602,0.55592,1.41226,4.29505,1.22157,1.78399,0.0001115,0.0001115,0.0001115
94,950.7,0.38927,0.65946,0.36591,0.89641,0.80395,0.85451,0.8767,0.67056,0.82319,0.79583,0.83374,0.54985,1.39533,4.33563,1.19585,1.76311,9.9125e-05,9.9125e-05,9.9125e-05
95,960.124,0.41809,0.6891,0.36279,0.94166,0.89615,0.8437,0.87937,0.67461,0.84203,0.77904,0.82602,0.54848,1.35509,4.31495,1.16643,1.72722,8.675e-05,8.675e-05,8.675e-05
96,969.751,0.40053,0.66984,0.42028,0.90306,0.91776,0.8457,0.88437,0.67886,0.83318,0.77856,0.826,0.56182,1.33896,4.36246,1.18027,1.72788,7.4375e-05,7.4375e-05,7.4375e-05
97,979.204,0.38742,0.67645,0.3877,0.90646,0.90355,0.83786,0.86884,0.66964,0.83896,0.75416,0.81559,0.55371,1.27977,4.38049,1.23974,1.73113,6.2e-05,6.2e-05,6.2e-05
98,988.712,0.36508,0.67203,0.33535,0.90153,0.88677,0.82748,0.86386,0.6761,0.84353,0.75264,0.81819,0.56145,1.25986,4.37279,1.2482,1.7305,4.9625e-05,4.9625e-05,4.9625e-05
99,998.006,0.39312,0.67878,0.37663,0.91545,0.88593,0.83227,0.8677,0.69364,0.85362,0.7482,0.82431,0.56388,1.23829,4.38679,1.25302,1.72397,3.725e-05,3.725e-05,3.725e-05
100,1007.52,0.35885,0.61042,0.33734,0.92039,0.8829,0.83836,0.86526,0.69818,0.84915,0.78295,0.82872,0.56374,1.22963,4.34534,1.25965,1.70907,2.4875e-05,2.4875e-05,2.4875e-05
